,Text,Date,Year,hashtag,Cleaned
48,"So From Nw Very Difficult To Choose One
1)#SatyamevJayate
2)#MannKiBaat
Both Wl Telecast At The Same Time
EVERY SUNDAY 11 AM
OHH SHITT :O :)",2014-10-03,2014,"['SatyamevJayate', 'MannKiBaat']",from very difficult choose telecast same timeevery sunday amohh shitt
49,"PM Modi's 'Mann Ki Baat' Points You Must Know 

http://t.co/TvQEBAt3v8 #ManKiBaat #Modi #India4India #mediaconvey #news #MannKiBaat",2014-10-03,2014,"['ManKiBaat', 'Modi', 'India4India', 'mediaconvey', 'news', 'MannKiBaat']",modis mann baat points must know
50,https://t.co/R5lNa8o097 #MannKiBaat @narendramodi_in talks his mind.,2014-10-03,2014,['MannKiBaat'],talks mind
51,"I thought PM will give a long speech on radio but it was really a #mannkibaat Excellent beginning. 
I'll buy a khadi cloth b4 diwali",2014-10-03,2014,['mannkibaat'],thought will give long speech radio really excellent beginning khadi cloth diwali
52,"Yaar Fan Ho Gaya Aapka @narendramodi
1)#ModiInAmerica
2)#MyCleanIndia
3)#MannKiBaat
N Now
#CleanIndiaWithBeingHuman
@BeingSalmanKhan WAITING",2014-10-03,2014,"['ModiInAmerica', 'MyCleanIndia', 'MannKiBaat', 'CleanIndiaWithBeingHuman']",yaar gaya aapka waiting
53,"Mr. PM do u understand  our #mannkibaat ?
we don't want to wait till dinner time(8pm) to listen ur speech in regional sorry national lang.",2014-10-03,2014,['mannkibaat'],understand dont want wait till dinner timepm listen speech regional sorry national lang
54,If u had accepted #IceBucketChallenge than u must accept #GarbageBucketChallenge . At the end it's about our India #MyCleanIndia #MannKiBaat,2014-10-03,2014,"['IceBucketChallenge', 'GarbageBucketChallenge', 'MyCleanIndia', 'MannKiBaat']",accepted than must accept about india
55,"@narendramodi Dearest Sir, I hope #MannKiBaat becomes a two way conversation like the RJ's on FM do. We shall have a PM we can speak to!",2014-10-03,2014,['MannKiBaat'],dearest hope becomes conversation like shall have speak
56,#MannKiBaat  after Baba Ramdev we have now Baba Narendra Dev..... Ppl thot he is a Karmyogi but he turned out to be a BlahBlah Yogi.,2014-10-03,2014,['MannKiBaat'],after baba ramdev have baba narendra thot karmyogi turned blahblah yogi
58,Atleast 10 calls be allowed to talk to @pmoindia @narendramodi in #MannKiBaat so that ppl from remote area can join wid PM that too tollfree,2014-10-03,2014,['MannKiBaat'],atleast calls allowed talk that from remote area join that tollfree
59,"Guess who r most upset people on earth, our MSM vale. Just head them saying... Modi ji sabse baat karte hai, Hamse kab karenge #MannKiBaat",2014-10-03,2014,['MannKiBaat'],guess most upset people earth vale just head them saying modi sabse baat karte hamse karenge
60,"Good initiative by @PMOIndia @narendramodi in #MannKiBaat. But it should be dialogue, not monologue ! Live phone calls tollfree be allowed !",2014-10-03,2014,['MannKiBaat'],good initiative should dialogue monologue live phone calls tollfree allowed
